stock_id,stock_name,concept_name,normalized_concept_name,folder_year,source_year,inferred_theme_year,source_platform,source_type,source_url,source_title,theme_source_title,theme_source_url,theme_source_platform,matched_by,confidence,evidence_text,crawl_date,notes
1733,五鼎,醫療器材耗材,醫療器耗,2022,2026,2022,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50889,醫療器材耗材概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「醫療器材耗材」成分股表格,2026-04-29,
1784,訊聯,醫療器材耗材,醫療器耗,2022,2026,2022,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50889,醫療器材耗材概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「醫療器材耗材」成分股表格,2026-04-29,
1799,易威,醫療器材耗材,醫療器耗,2022,2026,2022,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50889,醫療器材耗材概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「醫療器材耗材」成分股表格,2026-04-29,
3373,熱映,醫療器材耗材,醫療器耗,2022,2026,2022,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50889,醫療器材耗材概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「醫療器材耗材」成分股表格,2026-04-29,
4107,邦特,醫療器材耗材,醫療器耗,2022,2026,2022,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50889,醫療器材耗材概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「醫療器材耗材」成分股表格,2026-04-29,
4121,優盛,醫療器材耗材,醫療器耗,2022,2026,2022,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50889,醫療器材耗材概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「醫療器材耗材」成分股表格,2026-04-29,
4126,太醫,醫療器材耗材,醫療器耗,2022,2026,2022,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50889,醫療器材耗材概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「醫療器材耗材」成分股表格,2026-04-29,
4129,聯合,醫療器材耗材,醫療器耗,2022,2026,2022,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50889,醫療器材耗材概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「醫療器材耗材」成分股表格,2026-04-29,
