stock_id,stock_name,concept_name,normalized_concept_name,folder_year,source_year,inferred_theme_year,source_platform,source_type,source_url,source_title,theme_source_title,theme_source_url,theme_source_platform,matched_by,confidence,evidence_text,crawl_date,notes
3035,智原,LPU,LPU,2025,2026,2025,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50927,LPU概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「LPU」成分股表格,2026-04-29,
3443,創意,LPU,LPU,2025,2026,2025,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50927,LPU概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「LPU」成分股表格,2026-04-29,
3661,世芯-KY,LPU,LPU,2025,2026,2025,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50927,LPU概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「LPU」成分股表格,2026-04-29,
6531,愛普*,LPU,LPU,2025,2026,2025,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50927,LPU概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「LPU」成分股表格,2026-04-29,
