stock_id,stock_name,concept_name,normalized_concept_name,folder_year,source_year,inferred_theme_year,source_platform,source_type,source_url,source_title,theme_source_title,theme_source_url,theme_source_platform,matched_by,confidence,evidence_text,crawl_date,notes
6294,智基,遠距教學,遠距教學,2020,2026,2020,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50720,遠距教學概念股|推薦與股價行情-股市爆料同學會,12檔遠距辦公概念股 吸睛 - 日報 - 工商時報,https://www.ctee.com.tw/news/20200528701025-439901,工商時報,cmoney_detail_table,high,CMoney 概念頁「遠距教學」成分股表格,2026-04-29,據統計，遠距辦公概念股中的金像電、緯創、英業達、宏碁、原相、群光等近5個交易日都獲得法人一千張以上買超，尤其金像電更強力買超一萬張以上，另十銓、華碩、嘉聯益、義隆、仁寶及旺宏等，股價表現也不俗，但法人多偏空操作。
8437,大地-KY,遠距教學,遠距教學,2020,2026,2020,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50720,遠距教學概念股|推薦與股價行情-股市爆料同學會,12檔遠距辦公概念股 吸睛 - 日報 - 工商時報,https://www.ctee.com.tw/news/20200528701025-439901,工商時報,cmoney_detail_table,high,CMoney 概念頁「遠距教學」成分股表格,2026-04-29,據統計，遠距辦公概念股中的金像電、緯創、英業達、宏碁、原相、群光等近5個交易日都獲得法人一千張以上買超，尤其金像電更強力買超一萬張以上，另十銓、華碩、嘉聯益、義隆、仁寶及旺宏等，股價表現也不俗，但法人多偏空操作。
8489,三貝德,遠距教學,遠距教學,2020,2026,2020,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50720,遠距教學概念股|推薦與股價行情-股市爆料同學會,12檔遠距辦公概念股 吸睛 - 日報 - 工商時報,https://www.ctee.com.tw/news/20200528701025-439901,工商時報,cmoney_detail_table,high,CMoney 概念頁「遠距教學」成分股表格,2026-04-29,據統計，遠距辦公概念股中的金像電、緯創、英業達、宏碁、原相、群光等近5個交易日都獲得法人一千張以上買超，尤其金像電更強力買超一萬張以上，另十銓、華碩、嘉聯益、義隆、仁寶及旺宏等，股價表現也不俗，但法人多偏空操作。
2345,智邦,遠距教學,遠距教學,2020,2026,2020,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50720,遠距教學概念股|推薦與股價行情-股市爆料同學會,12檔遠距辦公概念股 吸睛 - 日報 - 工商時報,https://www.ctee.com.tw/news/20200528701025-439901,工商時報,cmoney_detail_table,high,CMoney 概念頁「遠距教學」成分股表格,2026-04-29,據統計，遠距辦公概念股中的金像電、緯創、英業達、宏碁、原相、群光等近5個交易日都獲得法人一千張以上買超，尤其金像電更強力買超一萬張以上，另十銓、華碩、嘉聯益、義隆、仁寶及旺宏等，股價表現也不俗，但法人多偏空操作。
2419,仲琦,遠距教學,遠距教學,2020,2026,2020,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50720,遠距教學概念股|推薦與股價行情-股市爆料同學會,12檔遠距辦公概念股 吸睛 - 日報 - 工商時報,https://www.ctee.com.tw/news/20200528701025-439901,工商時報,cmoney_detail_table,high,CMoney 概念頁「遠距教學」成分股表格,2026-04-29,據統計，遠距辦公概念股中的金像電、緯創、英業達、宏碁、原相、群光等近5個交易日都獲得法人一千張以上買超，尤其金像電更強力買超一萬張以上，另十銓、華碩、嘉聯益、義隆、仁寶及旺宏等，股價表現也不俗，但法人多偏空操作。
3380,明泰,遠距教學,遠距教學,2020,2026,2020,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50720,遠距教學概念股|推薦與股價行情-股市爆料同學會,12檔遠距辦公概念股 吸睛 - 日報 - 工商時報,https://www.ctee.com.tw/news/20200528701025-439901,工商時報,cmoney_detail_table,high,CMoney 概念頁「遠距教學」成分股表格,2026-04-29,據統計，遠距辦公概念股中的金像電、緯創、英業達、宏碁、原相、群光等近5個交易日都獲得法人一千張以上買超，尤其金像電更強力買超一萬張以上，另十銓、華碩、嘉聯益、義隆、仁寶及旺宏等，股價表現也不俗，但法人多偏空操作。
2324,仁寶,居家辦公(WFH),居家辦公(WFH),2020,2026,2020,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50868,居家辦公(WFH)概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「居家辦公(WFH)」成分股表格,2026-04-29,no_search_result
2353,宏碁,居家辦公(WFH),居家辦公(WFH),2020,2026,2020,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50868,居家辦公(WFH)概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「居家辦公(WFH)」成分股表格,2026-04-29,no_search_result
2357,華碩,居家辦公(WFH),居家辦公(WFH),2020,2026,2020,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50868,居家辦公(WFH)概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「居家辦公(WFH)」成分股表格,2026-04-29,no_search_result
2376,技嘉,居家辦公(WFH),居家辦公(WFH),2020,2026,2020,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50868,居家辦公(WFH)概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「居家辦公(WFH)」成分股表格,2026-04-29,no_search_result
