stock_id,stock_name,concept_name,normalized_concept_name,folder_year,source_year,inferred_theme_year,source_platform,source_type,source_url,source_title,theme_source_title,theme_source_url,theme_source_platform,matched_by,confidence,evidence_text,crawl_date,notes
1536,和大,DANCE,DANCE,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50570,DANCE概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「DANCE」成分股表格,2026-04-29,
1760,寶齡富錦,DANCE,DANCE,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50570,DANCE概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「DANCE」成分股表格,2026-04-29,
2002,中鋼,DANCE,DANCE,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50570,DANCE概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「DANCE」成分股表格,2026-04-29,
2330,台積電,DANCE,DANCE,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50570,DANCE概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「DANCE」成分股表格,2026-04-29,
2345,智邦,DANCE,DANCE,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50570,DANCE概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「DANCE」成分股表格,2026-04-29,
2356,英業達,DANCE,DANCE,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50570,DANCE概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「DANCE」成分股表格,2026-04-29,
2382,廣達,DANCE,DANCE,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50570,DANCE概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「DANCE」成分股表格,2026-04-29,
3008,大立光,DANCE,DANCE,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50570,DANCE概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「DANCE」成分股表格,2026-04-29,
