stock_id,stock_name,concept_name,normalized_concept_name,folder_year,source_year,inferred_theme_year,source_platform,source_type,source_url,source_title,theme_source_title,theme_source_url,theme_source_platform,matched_by,confidence,evidence_text,crawl_date,notes
1513,中興電,航空/航太,航空航太,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50210,航空/航太概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「航空/航太」成分股表格,2026-04-29,
1530,亞崴,航空/航太,航空航太,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50210,航空/航太概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「航空/航太」成分股表格,2026-04-29,
1540,喬福,航空/航太,航空航太,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50210,航空/航太概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「航空/航太」成分股表格,2026-04-29,
1583,程泰,航空/航太,航空航太,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50210,航空/航太概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「航空/航太」成分股表格,2026-04-29,
1584,精剛,航空/航太,航空航太,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50210,航空/航太概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「航空/航太」成分股表格,2026-04-29,
2049,上銀,航空/航太,航空航太,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50210,航空/航太概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「航空/航太」成分股表格,2026-04-29,
2233,宇隆,航空/航太,航空航太,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50210,航空/航太概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「航空/航太」成分股表格,2026-04-29,
2634,漢翔,航空/航太,航空航太,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50210,航空/航太概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「航空/航太」成分股表格,2026-04-29,
