stock_id,stock_name,concept_name,normalized_concept_name,folder_year,source_year,inferred_theme_year,source_platform,source_type,source_url,source_title,theme_source_title,theme_source_url,theme_source_platform,matched_by,confidence,evidence_text,crawl_date,notes
1762,中化生,原料藥,原料藥,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50882,原料藥概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「原料藥」成分股表格,2026-04-29,
1777,生泰,原料藥,原料藥,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50882,原料藥概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「原料藥」成分股表格,2026-04-29,
1789,神隆,原料藥,原料藥,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50882,原料藥概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「原料藥」成分股表格,2026-04-29,
4102,永日,原料藥,原料藥,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50882,原料藥概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「原料藥」成分股表格,2026-04-29,
4119,旭富,原料藥,原料藥,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50882,原料藥概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「原料藥」成分股表格,2026-04-29,
4167,松瑞藥,原料藥,原料藥,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50882,原料藥概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「原料藥」成分股表格,2026-04-29,
4746,台耀,原料藥,原料藥,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50882,原料藥概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「原料藥」成分股表格,2026-04-29,
