stock_id,stock_name,concept_name,normalized_concept_name,folder_year,source_year,inferred_theme_year,source_platform,source_type,source_url,source_title,theme_source_title,theme_source_url,theme_source_platform,matched_by,confidence,evidence_text,crawl_date,notes
1104,環泥,穿載裝置,穿載裝置,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50260,穿載裝置概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「穿載裝置」成分股表格,2026-04-29,
1711,永光,穿載裝置,穿載裝置,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50260,穿載裝置概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「穿載裝置」成分股表格,2026-04-29,
1717,長興,穿載裝置,穿載裝置,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50260,穿載裝置概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「穿載裝置」成分股表格,2026-04-29,
1781,合世,穿載裝置,穿載裝置,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50260,穿載裝置概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「穿載裝置」成分股表格,2026-04-29,
2303,聯電,穿載裝置,穿載裝置,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50260,穿載裝置概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「穿載裝置」成分股表格,2026-04-29,
2308,台達電,穿載裝置,穿載裝置,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50260,穿載裝置概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「穿載裝置」成分股表格,2026-04-29,
2312,金寶,穿載裝置,穿載裝置,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50260,穿載裝置概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「穿載裝置」成分股表格,2026-04-29,
2317,鴻海,穿載裝置,穿載裝置,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50260,穿載裝置概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「穿載裝置」成分股表格,2026-04-29,
