stock_id,stock_name,concept_name,normalized_concept_name,folder_year,source_year,inferred_theme_year,source_platform,source_type,source_url,source_title,theme_source_title,theme_source_url,theme_source_platform,matched_by,confidence,evidence_text,crawl_date,notes
2301,光寶科,GB200,GB200,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50917,GB200概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「GB200」成分股表格,2026-04-29,
2308,台達電,GB200,GB200,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50917,GB200概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「GB200」成分股表格,2026-04-29,
2392,正崴,GB200,GB200,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50917,GB200概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「GB200」成分股表格,2026-04-29,
3211,順達,GB200,GB200,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50917,GB200概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「GB200」成分股表格,2026-04-29,
3625,西勝,GB200,GB200,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50917,GB200概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「GB200」成分股表格,2026-04-29,
4931,新盛力,GB200,GB200,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50917,GB200概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「GB200」成分股表格,2026-04-29,
5309,系統電,GB200,GB200,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50917,GB200概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「GB200」成分股表格,2026-04-29,
6121,新普,GB200,GB200,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50917,GB200概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「GB200」成分股表格,2026-04-29,
