stock_id,stock_name,concept_name,normalized_concept_name,folder_year,source_year,inferred_theme_year,source_platform,source_type,source_url,source_title,theme_source_title,theme_source_url,theme_source_platform,matched_by,confidence,evidence_text,crawl_date,notes
1476,儒鴻,雙十一,雙十一,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50840,雙十一概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「雙十一」成分股表格,2026-04-29,
1477,聚陽,雙十一,雙十一,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50840,雙十一概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「雙十一」成分股表格,2026-04-29,
1904,正隆,雙十一,雙十一,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50840,雙十一概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「雙十一」成分股表格,2026-04-29,
1905,華紙,雙十一,雙十一,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50840,雙十一概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「雙十一」成分股表格,2026-04-29,
1907,永豐餘,雙十一,雙十一,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50840,雙十一概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「雙十一」成分股表格,2026-04-29,
1909,榮成,雙十一,雙十一,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50840,雙十一概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「雙十一」成分股表格,2026-04-29,
2347,聯強,雙十一,雙十一,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50840,雙十一概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「雙十一」成分股表格,2026-04-29,
2353,宏碁,雙十一,雙十一,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50840,雙十一概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「雙十一」成分股表格,2026-04-29,
