stock_id,stock_name,concept_name,normalized_concept_name,folder_year,source_year,inferred_theme_year,source_platform,source_type,source_url,source_title,theme_source_title,theme_source_url,theme_source_platform,matched_by,confidence,evidence_text,crawl_date,notes
1519,華城,氣候變遷,氣候變遷,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50901,氣候變遷概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「氣候變遷」成分股表格,2026-04-29,"search_failed: HTTPSConnectionPool(host='html.duckduckgo.com', port=443): Max retries exceeded with url: /html/?q=2026+%E5%8F%B0%E8%82%A1+%E6%B0%A3%E5%80%99%E8%AE%8A%E9%81%B7+%E6%A6%82%E5%BF%B5%E8%82%A1&kl=tw-tzh (Caused by ConnectTimeoutError(<HTTPSConnection(host='html.duckduckgo.com', port=443) at 0x2ada4c73110>, 'Connection to html.duckduckgo.com timed out. (connect timeout=25)'))"
1589,永冠-KY,氣候變遷,氣候變遷,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50901,氣候變遷概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「氣候變遷」成分股表格,2026-04-29,"search_failed: HTTPSConnectionPool(host='html.duckduckgo.com', port=443): Max retries exceeded with url: /html/?q=2026+%E5%8F%B0%E8%82%A1+%E6%B0%A3%E5%80%99%E8%AE%8A%E9%81%B7+%E6%A6%82%E5%BF%B5%E8%82%A1&kl=tw-tzh (Caused by ConnectTimeoutError(<HTTPSConnection(host='html.duckduckgo.com', port=443) at 0x2ada4c73110>, 'Connection to html.duckduckgo.com timed out. (connect timeout=25)'))"
1609,大亞,氣候變遷,氣候變遷,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50901,氣候變遷概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「氣候變遷」成分股表格,2026-04-29,"search_failed: HTTPSConnectionPool(host='html.duckduckgo.com', port=443): Max retries exceeded with url: /html/?q=2026+%E5%8F%B0%E8%82%A1+%E6%B0%A3%E5%80%99%E8%AE%8A%E9%81%B7+%E6%A6%82%E5%BF%B5%E8%82%A1&kl=tw-tzh (Caused by ConnectTimeoutError(<HTTPSConnection(host='html.duckduckgo.com', port=443) at 0x2ada4c73110>, 'Connection to html.duckduckgo.com timed out. (connect timeout=25)'))"
2208,台船,氣候變遷,氣候變遷,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50901,氣候變遷概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「氣候變遷」成分股表格,2026-04-29,"search_failed: HTTPSConnectionPool(host='html.duckduckgo.com', port=443): Max retries exceeded with url: /html/?q=2026+%E5%8F%B0%E8%82%A1+%E6%B0%A3%E5%80%99%E8%AE%8A%E9%81%B7+%E6%A6%82%E5%BF%B5%E8%82%A1&kl=tw-tzh (Caused by ConnectTimeoutError(<HTTPSConnection(host='html.duckduckgo.com', port=443) at 0x2ada4c73110>, 'Connection to html.duckduckgo.com timed out. (connect timeout=25)'))"
2308,台達電,氣候變遷,氣候變遷,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50901,氣候變遷概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「氣候變遷」成分股表格,2026-04-29,"search_failed: HTTPSConnectionPool(host='html.duckduckgo.com', port=443): Max retries exceeded with url: /html/?q=2026+%E5%8F%B0%E8%82%A1+%E6%B0%A3%E5%80%99%E8%AE%8A%E9%81%B7+%E6%A6%82%E5%BF%B5%E8%82%A1&kl=tw-tzh (Caused by ConnectTimeoutError(<HTTPSConnection(host='html.duckduckgo.com', port=443) at 0x2ada4c73110>, 'Connection to html.duckduckgo.com timed out. (connect timeout=25)'))"
2330,台積電,氣候變遷,氣候變遷,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50901,氣候變遷概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「氣候變遷」成分股表格,2026-04-29,"search_failed: HTTPSConnectionPool(host='html.duckduckgo.com', port=443): Max retries exceeded with url: /html/?q=2026+%E5%8F%B0%E8%82%A1+%E6%B0%A3%E5%80%99%E8%AE%8A%E9%81%B7+%E6%A6%82%E5%BF%B5%E8%82%A1&kl=tw-tzh (Caused by ConnectTimeoutError(<HTTPSConnection(host='html.duckduckgo.com', port=443) at 0x2ada4c73110>, 'Connection to html.duckduckgo.com timed out. (connect timeout=25)'))"
2406,國碩,氣候變遷,氣候變遷,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50901,氣候變遷概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「氣候變遷」成分股表格,2026-04-29,"search_failed: HTTPSConnectionPool(host='html.duckduckgo.com', port=443): Max retries exceeded with url: /html/?q=2026+%E5%8F%B0%E8%82%A1+%E6%B0%A3%E5%80%99%E8%AE%8A%E9%81%B7+%E6%A6%82%E5%BF%B5%E8%82%A1&kl=tw-tzh (Caused by ConnectTimeoutError(<HTTPSConnection(host='html.duckduckgo.com', port=443) at 0x2ada4c73110>, 'Connection to html.duckduckgo.com timed out. (connect timeout=25)'))"
3576,聯合再生,氣候變遷,氣候變遷,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50901,氣候變遷概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「氣候變遷」成分股表格,2026-04-29,"search_failed: HTTPSConnectionPool(host='html.duckduckgo.com', port=443): Max retries exceeded with url: /html/?q=2026+%E5%8F%B0%E8%82%A1+%E6%B0%A3%E5%80%99%E8%AE%8A%E9%81%B7+%E6%A6%82%E5%BF%B5%E8%82%A1&kl=tw-tzh (Caused by ConnectTimeoutError(<HTTPSConnection(host='html.duckduckgo.com', port=443) at 0x2ada4c73110>, 'Connection to html.duckduckgo.com timed out. (connect timeout=25)'))"
