stock_id,stock_name,concept_name,normalized_concept_name,folder_year,source_year,inferred_theme_year,source_platform,source_type,source_url,source_title,theme_source_title,theme_source_url,theme_source_platform,matched_by,confidence,evidence_text,crawl_date,notes
1325,恆大,美容,美容,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50680,美容概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「美容」成分股表格,2026-04-29,
4137,麗豐-KY,美容,美容,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50680,美容概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「美容」成分股表格,2026-04-29,
4190,佐登-KY,美容,美容,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50680,美容概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「美容」成分股表格,2026-04-29,
4728,雙美,美容,美容,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50680,美容概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「美容」成分股表格,2026-04-29,
4763,材料*-KY,美容,美容,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50680,美容概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「美容」成分股表格,2026-04-29,
6504,南六,美容,美容,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50680,美容概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「美容」成分股表格,2026-04-29,
8436,大江,美容,美容,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50680,美容概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「美容」成分股表格,2026-04-29,
9919,康那香,美容,美容,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50680,美容概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「美容」成分股表格,2026-04-29,
