stock_id,stock_name,concept_name,normalized_concept_name,folder_year,source_year,inferred_theme_year,source_platform,source_type,source_url,source_title,theme_source_title,theme_source_url,theme_source_platform,matched_by,confidence,evidence_text,crawl_date,notes
1101,台泥,一帶一路,一帶一路,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50250,一帶一路概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「一帶一路」成分股表格,2026-04-29,
1102,亞泥,一帶一路,一帶一路,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50250,一帶一路概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「一帶一路」成分股表格,2026-04-29,
1301,台塑,一帶一路,一帶一路,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50250,一帶一路概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「一帶一路」成分股表格,2026-04-29,
1303,南亞,一帶一路,一帶一路,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50250,一帶一路概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「一帶一路」成分股表格,2026-04-29,
1611,中電,一帶一路,一帶一路,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50250,一帶一路概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「一帶一路」成分股表格,2026-04-29,
1802,台玻,一帶一路,一帶一路,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50250,一帶一路概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「一帶一路」成分股表格,2026-04-29,
2002,中鋼,一帶一路,一帶一路,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50250,一帶一路概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「一帶一路」成分股表格,2026-04-29,
2049,上銀,一帶一路,一帶一路,2026,2026,2026,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50250,一帶一路概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「一帶一路」成分股表格,2026-04-29,
