族群,細產業,檔名,細產業代碼,成分股數,來源網址
生物辨識相關,掌紋辨識,生物辨識相關_掌紋辨識.csv,C023904,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C023904
生物辨識相關,語音辨識,生物辨識相關_語音辨識.csv,C023905,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C023905
射頻前端晶片,功率放大器,射頻前端晶片_功率放大器.csv,C023295,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C023295
射頻前端晶片,射頻前端晶片,射頻前端晶片_射頻前端晶片.csv,C023920,3,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C023920
射頻前端晶片,低雜訊放大器,射頻前端晶片_低雜訊放大器.csv,C023921,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C023921
射頻前端晶片,射頻開關,射頻前端晶片_射頻開關.csv,C023922,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C023922
射頻前端晶片,射頻前端模組,射頻前端晶片_射頻前端模組.csv,C023923,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C023923
電腦系統業,桌上型電腦,電腦系統業_桌上型電腦.csv,C023140,7,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C023140
電腦系統業,伺服器,電腦系統業_伺服器.csv,C023145,15,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C023145
電腦系統業,筆記型電腦,電腦系統業_筆記型電腦.csv,C023150,4,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C023150
電腦系統業,筆記型電腦製造,電腦系統業_筆記型電腦製造.csv,C023151,10,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C023151
電腦系統業,主機板,電腦系統業_主機板.csv,C023300,12,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C023300
電腦系統業,AI伺服器,電腦系統業_AI伺服器.csv,C023515,13,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C023515
電腦系統業,ASIC伺服器,電腦系統業_ASIC伺服器.csv,C023516,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C023516
電腦系統業,工作站,電腦系統業_工作站.csv,C023517,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C023517
電腦系統業,繪圖卡,電腦系統業_繪圖卡.csv,C023700,8,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C023700
電腦系統業,準系統,電腦系統業_準系統.csv,C023702,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C023702
電腦系統業,電子製造服務,電腦系統業_電子製造服務.csv,C023760,28,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C023760
電腦系統業,電競筆電,電腦系統業_電競筆電.csv,C023929,4,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C023929
電腦系統業,教育筆電,電腦系統業_教育筆電.csv,C023930,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C023930
電腦系統業,強固電腦,電腦系統業_強固電腦.csv,C023931,3,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C023931
電腦系統業,電腦系統業,電腦系統業_電腦系統業.csv,C023990,52,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C023990
傳輸介面,USB,傳輸介面_USB.csv,C023205,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C023205
傳輸介面,傳輸介面,傳輸介面_傳輸介面.csv,C023992,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C023992
傳輸介面,THUNDERBOLT,傳輸介面_THUNDERBOLT.csv,C023993,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C023993
傳輸介面,DISPLAYPORT,傳輸介面_DISPLAYPORT.csv,C023994,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C023994
傳輸介面,HDMI,傳輸介面_HDMI.csv,C023995,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C023995
地產,營建,地產_營建.csv,C025010,82,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C025010
地產,房屋仲介,地產_房屋仲介.csv,C025011,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C025011
地產,房屋代銷,地產_房屋代銷.csv,C025013,3,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C025013
地產,地產,地產_地產.csv,C025080,105,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C025080
地產,物業投資發展,地產_物業投資發展.csv,C025092,27,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C025092
地產,園區開發,地產_園區開發.csv,C025093,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C025093
地產,物業管理服務,地產_物業管理服務.csv,C025095,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C025095
