stock_id,stock_name,concept_name,normalized_concept_name,folder_year,source_year,inferred_theme_year,source_platform,source_type,source_url,source_title,theme_source_title,theme_source_url,theme_source_platform,matched_by,confidence,evidence_text,crawl_date,notes
2330,台積電,AI人工智慧,AI人工智慧,2023,2026,2023,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50410,AI人工智慧概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「AI人工智慧」成分股表格,2026-04-29,
2356,英業達,AI人工智慧,AI人工智慧,2023,2026,2023,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50410,AI人工智慧概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「AI人工智慧」成分股表格,2026-04-29,
2382,廣達,AI人工智慧,AI人工智慧,2023,2026,2023,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50410,AI人工智慧概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「AI人工智慧」成分股表格,2026-04-29,
2439,美律,AI人工智慧,AI人工智慧,2023,2026,2023,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50410,AI人工智慧概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「AI人工智慧」成分股表格,2026-04-29,
2454,聯發科,AI人工智慧,AI人工智慧,2023,2026,2023,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50410,AI人工智慧概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「AI人工智慧」成分股表格,2026-04-29,
3189,景碩,AI人工智慧,AI人工智慧,2023,2026,2023,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50410,AI人工智慧概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「AI人工智慧」成分股表格,2026-04-29,
3231,緯創,AI人工智慧,AI人工智慧,2023,2026,2023,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50410,AI人工智慧概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「AI人工智慧」成分股表格,2026-04-29,
3443,創意,AI人工智慧,AI人工智慧,2023,2026,2023,CMoney,concept_detail,https://www.cmoney.tw/forum/concept/C50410,AI人工智慧概念股|推薦與股價行情-股市爆料同學會,,,,cmoney_detail_table,high,CMoney 概念頁「AI人工智慧」成分股表格,2026-04-29,
